teryt;wteryt;nazwa;firmyRz;przychodRz;wynikNettoRz;hotele2012;hotele2017;wSzkoly;absolwenci;przychodMF;nuts1
0201;02;bolesławiecki;3;1614743;22338;7;9;0;0;204.8;sw
0202;02;dzierżoniowski;0;0;0;6;13;0;0;178.19;sw
0203;02;głogowski;1;630194;12324;4;4;1;158;310.81;sw
0204;02;górowski;6;3871301;50473;0;0;0;0;137.34;sw
0205;02;jaworski;0;0;0;5;4;0;0;167.53;sw
0206;02;jeleniogórski;0;0;0;106;103;0;0;193.31;sw
0207;02;kamiennogórski;0;0;0;3;4;0;0;161.72;sw
0208;02;kłodzki;1;228019;3746;57;72;1;144;166.75;sw
0209;02;legnicki;9;6234625;208013;3;3;0;0;197.12;sw
0210;02;lubański;0;0;0;24;26;0;0;178.04;sw
0211;02;lubiński;11;35688934;2273143;5;7;0;152;385.82;sw
0212;02;lwówecki;5;1431404;130727;3;4;0;0;147.43;sw
0213;02;milicki;0;0;0;3;3;0;0;174.79;sw
0214;02;oleśnicki;2;570581;35630;7;7;0;0;210.44;sw
0215;02;oławski;1;291151;5314;5;6;0;0;258.45;sw
0216;02;polkowicki;0;0;0;5;3;1;152;386.56;sw
0217;02;strzeliński;4;1069860;76530;1;1;0;0;183.66;sw
0218;02;średzki(śląskie);3;1207822;66458;3;4;0;0;228.32;sw
0219;02;świdnicki(śląskie);12;9089510;446776;12;12;0;89;232.29;sw
0220;02;trzebnicki;1;724781;23591;5;5;0;0;232.24;sw
0221;02;wałbrzyski;4;1160225;76234;14;10;0;0;193.95;sw
0222;02;wołowski;5;3277466;268429;2;1;0;0;204.92;sw
0223;02;wrocławski;65;53172007;1795457;8;12;0;0;385.87;sw
0224;02;ząbkowicki;2;496889;9400;4;5;0;0;168.7;sw
0225;02;zgorzelecki;3;912275;15323;5;9;0;0;257.19;sw
0226;02;złotoryjski;1;168241;8085;1;1;0;0;;sw
0261;02;m.JeleniaGóra;0;0;0;17;16;1;589;253.36;sw
0262;02;m.Legnica;0;0;0;7;9;2;863;268.84;sw
0264;02;m.Wrocław;0;0;0;53;56;25;31895;411.34;sw
0265;02;m.Wałbrzych;0;0;0;;7;2;754;222.31;sw
0401;04;aleksandrowski;1;228005;4963;10;18;0;0;162.58;n
0402;04;brodnicki;4;1620582;44504;5;10;0;43;176.28;n
0403;04;bydgoski;0;0;0;10;16;0;0;295.83;n
0404;04;chełmiński;0;0;0;3;4;0;0;155.81;n
0405;04;golubsko-dobrzyński;5;3105710;124385;3;3;0;0;151.47;n
0406;04;grudziądzki;0;0;0;1;2;0;0;143.57;n
0407;04;inowrocławski;7;8415193;17570;8;8;1;221;193.48;n
0408;04;lipnowski;0;0;0;3;5;0;0;119.29;n
0409;04;mogileński;0;0;0;2;3;0;0;166.66;n
0410;04;nakielski;2;988759;2475;4;5;0;0;167.61;n
0411;04;radziejowski;0;0;0;0;0;0;0;132.27;n
0412;04;rypiński;4;759155;68347;1;2;0;0;143.75;n
0413;04;sępoleński;1;156256;10974;3;5;0;0;129.35;n
0414;04;świecki;9;5262273;725197;7;9;1;36;188.27;n
0415;04;toruński;16;21262083;1079880;6;10;0;0;199.81;n
0416;04;tucholski;0;0;0;1;2;1;131;137.27;n
0417;04;wąbrzeski;1;1259480;10156;0;1;0;0;150.93;n
0418;04;włocławski;6;15953422;471772;3;3;0;0;141.49;n
0419;04;żniński;0;0;0;5;6;0;0;150.7;n
0461;04;m.Bydgoszcz;16;6058982;-425371;20;30;8;8528;284.71;n
0462;04;m.Grudziądz;0;0;0;6;9;2;33;210.62;n
0463;04;m.Toruń;0;0;0;30;33;4;7442;293.09;n
0464;04;m.Włocławek;0;0;0;9;12;2;651;236.89;n
0601;06;bialski;1;454342;1220;9;11;0;0;116.49;e
0602;06;biłgorajski;3;2529767;13780;6;6;0;0;114.93;e
0603;06;chełmski;0;0;0;2;2;0;0;98.92;e
0604;06;hrubieszowski;2;439788;25530;2;4;0;0;110.47;e
0605;06;janowski;0;0;0;2;4;0;0;118.75;e
0606;06;krasnostawski;0;0;0;4;4;0;0;127.83;e
0607;06;kraśnicki;2;501583;4137;1;1;0;0;121.65;e
0608;06;lubartowski;2;472923;28667;4;6;0;0;134.3;e
0609;06;lubelski;22;11596537;446007;11;15;0;0;172.4;e
0610;06;łęczyński;4;3211513;821938;2;2;0;0;183.42;e
0611;06;łukowski;1;574673;6216;1;2;0;0;140.16;e
0612;06;opolski(lubelskie);0;0;0;4;6;0;0;108.86;e
0613;06;parczewski;0;0;0;2;3;0;0;132.08;e
0614;06;puławski;0;0;0;16;29;0;48;206.08;e
0615;06;radzyński;4;2105526;21520;2;2;0;0;123.7;e
0616;06;rycki;1;337346;68;4;2;2;582;177.74;e
0617;06;świdnicki(lubelskie);2;676777;18186;2;7;0;0;192.39;e
0618;06;tomaszowski(lubelskie);1;419833;62095;4;8;0;0;112.71;e
0619;06;włodawski;0;0;0;3;4;0;0;127.25;e
0620;06;zamojski;0;0;0;6;8;0;0;110.39;e
0661;06;m.BiałaPodlaska;0;0;0;7;8;1;1333;213.76;e
0662;06;m.Chełm;0;0;0;4;4;2;599;203.54;e
0663;06;m.Lublin;0;0;0;21;37;9;18203;296.1;e
0664;06;m.Zamość;0;0;0;11;13;3;440;213.48;e
0801;08;gorzowski;0;0;0;6;4;1;25;236.86;nw
0802;08;krośnieński(lubuskie);0;0;0;6;4;0;0;179.01;nw
0803;08;międzyrzecki;1;164865;23653;13;13;0;0;178.74;nw
0804;08;nowosolski;7;4826018;257857;7;6;0;0;163.59;nw
0805;08;słubicki;1;410080;3110;16;21;0;0;193.97;nw
0806;08;strzelecko-drezdenecki;1;211188;2332;5;5;0;0;157.72;nw
0807;08;sulęciński;4;1881457;155279;10;11;0;0;180.06;nw
0808;08;świebodziński;1;168524;11135;12;16;0;0;195.84;nw
0809;08;zielonogórski;5;18952264;146349;8;8;0;24;189.94;nw
0810;08;żagański;5;4062848;346883;6;4;0;0;169.98;nw
0811;08;żarski;0;0;0;10;8;1;109;195.47;nw
0812;08;wschowski;1;253009;17285;5;5;0;0;185.59;nw
0861;08;m.GorzówWielkopolski;4;2375698;21665;10;11;2;981;243.76;nw
0862;08;m.ZielonaGóra;0;0;0;16;16;2;2805;320.18;nw
1001;10;bełchatowski;3;2110971;71323;11;7;0;149;326.22;c
1002;10;kutnowski;7;3821195;102343;10;9;1;337;200.18;c
1003;10;łaski;2;663813;35843;6;5;0;0;186.79;c
1004;10;łęczycki;1;8886789;530952;4;3;0;0;139.04;c
1005;10;łowicki;4;2170032;5899;8;5;0;0;183.04;c
1006;10;łódzkiwschodni;12;5019553;161662;11;7;0;0;285.99;c
1007;10;opoczyński;4;1241428;85262;6;6;0;0;150.1;c
1008;10;pabianicki;48;42400450;2146963;14;10;0;0;248.36;c
1009;10;pajęczański;1;505328;42324;3;2;0;0;187.32;c
1010;10;piotrkowski;0;0;0;8;9;0;0;162.93;c
1011;10;poddębicki;0;0;0;8;10;0;0;142.18;c
1012;10;radomszczański;3;2410748;72808;7;6;0;0;184.79;c
1013;10;rawski;0;0;0;6;6;0;0;184.1;c
1014;10;sieradzki;1;247861;3689;5;7;0;29;165.86;c
1015;10;skierniewicki;0;0;0;0;0;0;0;154.2;c
1016;10;tomaszowski(mazowieckie);3;932911;74835;11;11;0;231;203.45;c
1017;10;wieluński;2;1959686;99077;11;8;0;0;167.36;c
1018;10;wieruszowski;0;0;0;3;3;0;0;177.39;c
1019;10;zduńskowolski;0;0;0;6;6;0;74;201.98;c
1020;10;zgierski;10;4468456;190856;18;17;0;0;226.05;c
1021;10;brzeziński;0;0;0;1;1;0;0;184.92;c
1061;10;m.Łódź;2;333279;4666;43;46;22;19281;319.93;c
1062;10;m.PiotrkówTrybunalski;1;167578;8557;8;7;0;401;258.23;c
1063;10;m.Skierniewice;4;1748605;89759;3;1;2;427;304.23;c
1201;12;bocheński;0;0;0;10;11;0;0;192.07;s
1202;12;brzeski(małopolskie);0;0;0;5;7;0;0;155.98;s
1203;12;chrzanowski;3;2339502;-78012;4;5;0;0;253.29;s
1204;12;dąbrowski;1;262942;1563;0;1;0;0;111.4;s
1205;12;gorlicki;1;192356;41352;11;13;0;0;129.57;s
1206;12;krakowski;104;81991911;2611091;15;18;0;0;282.42;s
1207;12;limanowski;0;0;0;9;11;0;12;133.05;s
1208;12;miechowski;0;0;0;2;4;0;68;134.64;s
1209;12;myślenicki;3;4387951;71438;5;14;0;0;174.96;s
1210;12;nowosądecki;0;0;0;37;49;0;0;137.85;s
1211;12;nowotarski;2;658246;23310;36;49;1;725;120.57;s
1212;12;olkuski;5;3185959;327431;5;5;0;90;255.64;s
1213;12;oświęcimski;4;5317757;-28705;7;9;1;341;261.52;s
1214;12;proszowicki;0;0;0;4;4;0;0;123.92;s
1215;12;suski;1;997811;44959;7;7;1;152;157.21;s
1216;12;tarnowski;0;0;0;5;8;0;0;134.32;s
1217;12;tatrzański;0;0;0;67;85;0;14;164.28;s
1218;12;wadowicki;1;209217;18388;9;12;0;0;197.03;s
1219;12;wielicki;0;0;0;19;21;0;0;257.95;s
1261;12;m.Kraków;0;0;0;158;183;21;49142;;s
1262;12;m.NowySącz;9;3430244;68504;5;9;3;1465;252.57;s
1263;12;m.Tarnów;4;10508059;509544;8;8;3;1672;242.39;s
1401;14;białobrzeski;0;0;0;4;3;0;0;134.53;m
1402;14;ciechanowski;3;3775385;183227;5;8;2;556;203.95;m
1403;14;garwoliński;4;2883202;216876;4;6;0;0;183.92;m
1404;14;gostyniński;0;0;0;0;0;0;0;147.67;m
1405;14;grodziski(mazowieckie);14;6826332;194608;5;8;2;269;413.82;m
1406;14;grójecki;3;1958268;64469;8;9;0;0;197.59;m
1407;14;kozienicki;0;0;0;1;3;0;0;217.33;m
1408;14;legionowski;3;783051;20090;7;12;0;0;377.95;m
1409;14;lipski;0;0;0;0;0;0;0;123.24;m
1410;14;łosicki;3;843994;34922;2;1;0;0;126.05;m
1411;14;makowski;2;408348;5756;2;1;0;0;130.71;m
1412;14;miński;0;0;0;8;8;0;22;258.84;m
1413;14;mławski;2;8600812;60916;3;3;0;0;179.88;m
1414;14;nowodworski(mazowieckie);1;872057;517;7;11;0;0;267.45;m
1415;14;ostrołęcki;0;0;0;2;2;0;0;144.42;m
1416;14;ostrowski(mazowieckie);5;2315899;97994;1;1;0;17;163.84;m
1417;14;otwocki;10;4028459;47148;4;10;2;676;363.76;m
1418;14;piaseczyński;2;461379;5007;14;11;0;0;552.25;m
1419;14;płocki;0;0;0;8;6;0;0;176.58;m
1420;14;płoński;4;3933708;333054;4;8;0;57;164.76;m
1421;14;pruszkowski;12;9652310;310069;11;15;1;111;472.89;m
1422;14;przasnyski;1;238163;4421;2;2;0;0;141.69;m
1423;14;przysuski;0;0;0;1;2;0;0;115.8;m
1424;14;pułtuski;0;0;0;3;2;1;432;172.94;m
1425;14;radomski;0;0;0;4;7;0;0;144.1;m
1426;14;siedlecki;0;0;0;4;4;0;0;147.92;m
1427;14;sierpecki;3;2224711;103096;5;4;0;0;143.08;m
1428;14;sochaczewski;3;6848983;226879;3;3;1;55;233.15;m
1429;14;sokołowski;3;4597838;20272;3;1;0;0;183.42;m
1430;14;szydłowiecki;0;0;0;2;4;0;0;121.42;m
1432;14;warszawskizachodni;4;1773998;71886;10;11;0;0;511.89;m
1433;14;węgrowski;1;157793;21156;2;3;0;0;178.93;m
1434;14;wołomiński;1;229137;890;12;15;2;4;303.97;m
1435;14;wyszkowski;1;207157;3015;3;4;0;72;187.84;m
1436;14;zwoleński;1;279203;-4788;0;1;0;0;126.35;m
1437;14;żuromiński;1;633468;13649;0;0;0;0;126.18;m
1438;14;żyrardowski;0;0;0;5;6;1;0;246.58;m
1461;14;m.Ostrołęka;3;2762616;243912;3;2;2;115;260.94;m
1462;14;m.Płock;11;106045704;7721917;9;14;3;2105;447.13;m
1463;14;m.Radom;10;10692288;148845;13;14;7;2714;240.34;m
1464;14;m.Siedlce;9;4330219;98065;3;8;2;2319;290.75;m
1465;14;m.Warszawa;484;567506555;23708504;86;111;70;60809;679.11;m
1601;16;brzeski(opolskie);4;4302538;189942;2;6;1;125;200.08;sw
1602;16;głubczycki;0;0;0;1;1;0;0;154.88;sw
1603;16;kędzierzyńsko-kozielski;5;3083785;92745;3;8;0;0;223.72;sw
1604;16;kluczborski;4;1123246;23770;2;7;0;0;164.15;sw
1605;16;krapkowicki;2;1057002;39360;7;7;0;0;197.73;sw
1606;16;namysłowski;3;1536096;29937;5;5;0;0;178.07;sw
1607;16;nyski;2;428480;501;9;15;1;628;167.26;sw
1608;16;oleski;7;3432118;148478;4;7;0;0;161.38;sw
1609;16;opolski(śląskie);0;0;0;6;7;0;0;199.84;sw
1610;16;prudnicki;0;0;0;2;3;0;0;149.1;sw
1611;16;strzelecki;4;1225980;56576;3;2;0;0;186.33;sw
1661;16;m.Opole;12;8209595;197743;12;17;4;6962;344.6;sw
1801;18;bieszczadzki;0;0;0;7;12;0;0;137.54;e
1802;18;brzozowski;0;0;0;3;3;0;0;126.02;e
1803;18;dębicki;4;3127356;193743;6;11;0;0;183.05;e
1804;18;jarosławski;3;1093054;36749;9;11;1;1007;135.23;e
1805;18;jasielski;3;710706;30350;4;6;1;128;143.56;e
1806;18;kolbuszowski;3;17633045;59318;2;2;0;0;115.13;e
1807;18;krośnieński(podkarpackie);0;0;0;10;11;0;0;138.27;e
1808;18;leżajski;1;248416;5886;4;4;0;0;123.17;e
1809;18;lubaczowski;1;380141;12155;2;3;0;0;102.22;e
1810;18;łańcucki;1;737380;11550;8;11;0;0;161.31;e
1811;18;mielecki;0;0;0;9;7;0;65;;e
1812;18;niżański;0;0;0;0;1;0;20;125.95;e
1813;18;przemyski;0;0;0;2;6;0;0;115.62;e
1814;18;przeworski;1;201409;15936;2;4;1;39;133.25;e
1815;18;ropczycko-sędziszowski;4;976918;44914;7;8;0;0;139.47;e
1816;18;rzeszowski;0;0;0;17;21;0;0;162.78;e
1817;18;sanocki;1;997805;81049;4;10;1;321;162.85;e
1818;18;stalowowolski;6;2076035;45406;4;5;2;335;191.23;e
1819;18;strzyżowski;0;0;0;1;4;0;0;129.05;e
1820;18;tarnobrzeski;0;0;0;5;7;0;0;150.63;e
1821;18;leski;0;0;0;14;15;0;0;127.8;e
1861;18;m.Krosno;5;2669286;137102;6;9;1;572;252.86;e
1862;18;m.Przemyśl;4;925965;17853;9;10;3;275;195.07;e
1863;18;m.Rzeszów;17;15535601;1016570;30;36;6;13562;303.43;e
1864;18;m.Tarnobrzeg;1;249949;26836;5;5;1;356;210.84;e
2001;20;augustowski;0;0;0;9;10;0;0;150.7;e
2002;20;białostocki;15;5494605;130668;12;16;0;0;190.88;e
2003;20;bielski(podlaskie);7;4246363;161220;3;2;0;0;175.88;e
2004;20;grajewski;1;241583;21779;0;3;0;0;141.9;e
2005;20;hajnowski;0;0;0;5;5;0;45;177.23;e
2006;20;kolneński;1;486075;1937;1;2;0;0;99.87;e
2007;20;łomżyński;0;0;0;4;4;0;0;106.5;e
2008;20;moniecki;3;4552899;14318;3;2;0;0;;e
2009;20;sejneński;0;0;0;2;2;0;0;123.12;e
2010;20;siemiatycki;4;2391235;74160;4;5;1;28;121.11;e
2011;20;sokólski;3;1070472;34691;2;2;0;0;126.07;e
2012;20;suwalski;0;0;0;3;4;0;0;121.15;e
2013;20;wysokomazowiecki;2;4721234;114117;0;2;0;0;153.02;e
2014;20;zambrowski;1;647378;13371;4;3;0;0;169.69;e
2061;20;m.Białystok;0;0;0;18;22;10;8359;267.53;e
2062;20;m.Łomża;4;1239515;40350;2;3;4;1085;227.53;e
2063;20;m.Suwałki;4;749818;42794;3;7;1;474;209.42;e
2201;22;bytowski;4;3040748;136804;3;3;0;0;158.77;n
2202;22;chojnicki;4;1399461;72748;10;10;1;205;180.2;n
2203;22;człuchowski;0;0;0;3;4;0;0;145.41;n
2204;22;gdański;4;1480688;64247;14;15;0;0;271.69;n
2205;22;kartuski;25;7625091;1180035;10;14;0;0;205.71;n
2206;22;kościerski;1;578992;32979;11;11;0;23;158.2;n
2207;22;kwidzyński;3;4756309;604421;6;6;1;266;182.63;n
2208;22;lęborski;2;525954;63759;9;9;0;0;181.41;n
2209;22;malborski;2;424008;22410;7;8;0;37;181.15;n
2210;22;nowodworski(pomorskie);0;0;0;7;14;0;0;161.75;n
2211;22;pucki;0;0;0;28;32;0;0;207.47;n
2212;22;słupski;0;0;0;14;14;0;0;191.76;n
2213;22;starogardzki;4;3674207;24124;4;4;1;43;178.25;n
2214;22;tczewski;8;5495078;101090;11;12;0;0;191.18;n
2215;22;wejherowski;9;4029667;143621;14;15;1;54;213.28;n
2216;22;sztumski;0;0;0;0;0;0;0;130.75;n
2261;22;m.Gdańsk;40;63167759;4035630;61;73;13;21187;381.73;n
2262;22;m.Gdynia;0;0;0;14;13;5;3099;380.09;n
2263;22;m.Słupsk;6;1426247;17638;7;9;2;924;252.18;n
2264;22;m.Sopot;5;1537269;216887;22;27;2;356;515.12;n
2401;24;będziński;19;30807569;979951;10;11;0;0;283.52;s
2402;24;bielski(śląskie);5;5507262;272275;16;21;0;0;284.96;s
2403;24;cieszyński;14;7138679;242712;47;48;0;178;235.14;s
2404;24;częstochowski;0;0;0;4;4;0;0;188.87;s
2405;24;gliwicki;16;13306606;488315;7;6;0;0;261.79;s
2406;24;kłobucki;15;9746864;179662;1;1;0;0;200.19;s
2407;24;lubliniecki;0;0;0;6;6;0;0;190.89;s
2408;24;mikołowski;3;1151146;36395;6;5;0;0;325.67;s
2409;24;myszkowski;1;431411;36474;4;7;0;0;209.17;s
2410;24;pszczyński;8;4015132;178835;9;11;0;0;280.92;s
2411;24;raciborski;5;3872131;152207;5;10;1;381;191.32;s
2412;24;rybnicki;0;0;0;1;1;0;0;243.04;s
2413;24;tarnogórski;5;1836149;115506;11;11;0;52;276.14;s
2414;24;tyski;3;7510935;37673;1;3;0;0;305.65;s
2415;24;wodzisławski;1;260250;1907;5;6;0;35;249.13;s
2416;24;zawierciański;7;6264918;50841;8;12;0;0;220.48;s
2417;24;żywiecki;6;6551317;679336;14;21;1;104;201.05;s
2461;24;m.Bielsko-Biała;31;31146171;1631124;10;18;7;2351;345.43;s
2462;24;m.Bytom;2;1439867;76383;4;5;0;23;217.53;s
2463;24;m.Chorzów;10;4737577;-9743;5;7;1;1703;267.79;s
2464;24;m.Częstochowa;0;0;0;9;11;6;5065;273.16;s
2465;24;m.DąbrowaGórnicza;0;0;0;5;5;2;1626;297.48;s
2466;24;m.Gliwice;0;0;0;13;15;2;7963;345.67;s
2467;24;m.Jastrzębie-Zdrój;2;9300892;2585089;3;5;0;0;271.28;s
2468;24;m.Jaworzno;0;0;0;4;5;0;0;297.7;s
2469;24;m.Katowice;40;55242230;2354181;19;20;11;17567;395.83;s
2470;24;m.Mysłowice;6;2446228;191381;0;0;0;79;307.71;s
2471;24;m.PiekaryŚląskie;0;0;0;4;6;0;0;256.33;s
2472;24;m.RudaŚląska;0;0;0;2;3;1;16;270.05;s
2473;24;m.Rybnik;0;0;0;8;6;0;0;275.82;s
2474;24;m.SiemianowiceŚląskie;0;0;0;2;2;0;0;266.55;s
2475;24;m.Sosnowiec;0;0;0;3;7;3;801;280.16;s
2476;24;m.Świętochłowice;0;0;0;1;1;0;0;218.23;s
2477;24;m.Tychy;16;13188876;591003;10;10;0;64;341.05;s
2478;24;m.Zabrze;10;6658132;-59537;7;10;0;0;243.66;s
2479;24;m.Żory;0;0;0;3;5;0;97;263.19;s
2601;26;buski;2;541180;5179;10;16;0;0;153.87;c
2602;26;jędrzejowski;4;2508251;200283;2;4;0;0;137.03;c
2603;26;kazimierski;1;557933;7327;1;3;0;0;90.39;c
2604;26;kielecki;11;6399144;709740;21;36;0;0;158.38;c
2605;26;konecki;4;856533;27877;9;9;0;0;142.09;c
2606;26;opatowski;1;468782;0;1;4;0;0;122.15;c
2607;26;ostrowiecki;0;0;0;9;9;1;524;175.18;c
2608;26;pińczowski;3;3021060;46262;1;2;1;57;139.31;c
2609;26;sandomierski;1;1894226;49830;11;11;2;86;150.55;c
2610;26;skarżyski;2;3780212;33825;5;8;0;0;185.26;c
2611;26;starachowicki;2;717488;22532;3;3;0;0;176.88;c
2612;26;staszowski;1;234403;-30042;4;5;0;0;156.74;c
2613;26;włoszczowski;1;164909;-267;4;3;0;0;138.04;c
2661;26;m.Kielce;0;0;0;25;27;8;7975;295.57;c
2801;28;bartoszycki;0;0;0;5;5;0;32;148.93;n
2802;28;braniewski;0;0;0;5;5;0;0;154.05;n
2803;28;działdowski;2;360400;24135;6;7;0;0;157.05;n
2804;28;elbląski;3;744564;5830;5;4;0;0;140.8;n
2805;28;ełcki;2;859867;20900;8;7;0;131;155.19;n
2806;28;giżycki;1;583739;49973;13;19;0;0;175.72;n
2807;28;iławski;0;0;0;10;14;0;89;173.55;n
2808;28;kętrzyński;0;0;0;7;4;0;0;147.12;n
2809;28;lidzbarski;0;0;0;3;5;0;0;147.19;n
2810;28;mrągowski;0;0;0;31;28;0;0;165.96;n
2811;28;nidzicki;0;0;0;3;2;0;0;126.02;n
2812;28;nowomiejski;3;1169843;30280;3;2;0;0;127.49;n
2813;28;olecki;1;324972;773;2;3;0;0;138.18;n
2814;28;olsztyński;0;0;0;10;12;0;0;202.06;n
2815;28;ostródzki;4;1294403;60635;16;18;0;0;164.42;n
2816;28;piski;1;236193;5349;10;10;0;0;132.32;n
2817;28;szczycieński;0;0;0;6;8;1;1103;153.32;n
2818;28;gołdapski;3;670451;23896;5;5;0;0;126.07;n
2819;28;węgorzewski;0;0;0;2;4;0;0;141.92;n
2861;28;m.Elbląg;2;830831;10104;11;11;2;856;252.07;n
2862;28;m.Olsztyn;11;12393096;491841;16;16;4;7364;305.66;n
3001;30;chodzieski;2;341298;6538;12;10;0;0;195.06;nw
3002;30;czarnkowsko-trzcianecki;1;664786;25287;8;7;0;16;175.42;nw
3003;30;gnieźnieński;11;54951093;1850434;21;14;2;385;201.37;nw
3004;30;gostyński;5;1809860;110952;6;4;0;0;236.41;nw
3005;30;grodziski(wielkopolskie);6;1961062;-46727;5;5;0;0;194.51;nw
3006;30;jarociński;2;552465;10796;6;6;0;0;187.22;nw
3007;30;kaliski;0;0;0;5;9;0;0;163.4;nw
3008;30;kępiński;3;1319646;-16437;3;4;0;0;277.75;nw
3009;30;kolski;0;0;0;5;6;0;0;168.08;nw
3010;30;koniński;0;0;0;14;15;0;0;159.29;nw
3011;30;kościański;3;850744;32066;6;5;0;0;205.32;nw
3012;30;krotoszyński;3;6588329;410695;6;6;0;0;192.61;nw
3013;30;leszczyński;0;0;0;13;13;0;0;176.03;nw
3014;30;międzychodzki;1;495341;651;4;4;0;0;184.54;nw
3015;30;nowotomyski;6;2754479;229345;9;10;0;85;223.41;nw
3016;30;obornicki;5;2871187;29142;3;3;0;0;192.75;nw
3017;30;ostrowski(wielkopolskie);8;4380110;200334;12;13;0;219;212.42;nw
3018;30;ostrzeszowski;0;0;0;4;3;0;0;189.13;nw
3019;30;pilski;0;0;0;14;11;2;521;214.45;nw
3020;30;pleszewski;9;6764647;257941;3;6;0;0;162.22;nw
3021;30;poznański;0;0;0;48;50;0;0;371.95;nw
3022;30;rawicki;3;2909218;119363;4;3;0;0;194.54;nw
3023;30;słupecki;3;2041733;35387;2;3;1;0;167.07;nw
3024;30;szamotulski;12;38698365;552113;6;6;0;0;230.94;nw
3025;30;średzki(wielkopolskie);4;1096434;-44874;6;7;1;309;221.7;nw
3026;30;śremski;1;270634;1079;6;5;0;0;211.69;nw
3027;30;turecki;2;1211336;35197;5;4;0;0;184.28;nw
3028;30;wągrowiecki;0;0;0;3;2;0;53;167.8;nw
3029;30;wolsztyński;0;0;0;10;9;0;0;211.11;nw
3030;30;wrzesiński;7;2444628;83047;7;8;0;0;226.46;nw
3031;30;złotowski;0;0;0;3;4;0;0;153.32;nw
3061;30;m.Kalisz;3;731536;18371;8;9;1;1074;315.69;nw
3062;30;m.Konin;0;0;0;2;2;3;734;266.01;nw
3063;30;m.Leszno;4;1607647;38093;6;5;2;673;307.29;nw
3064;30;m.Poznań;62;117762973;3037578;60;73;24;32531;434.03;nw
3201;32;białogardzki;1;421067;67049;2;2;0;0;156.75;nw
3202;32;choszczeński;0;0;0;4;3;0;0;147.22;nw
3203;32;drawski;9;12849567;172872;4;6;0;0;165.08;nw
3204;32;goleniowski;5;8195236;231187;5;10;0;0;207.51;nw
3205;32;gryficki;0;0;0;14;13;0;1;162.84;nw
3206;32;gryfiński;1;176465;12676;8;7;0;0;167.29;nw
3207;32;kamieński;0;0;0;17;19;0;0;177.72;nw
3208;32;kołobrzeski;1;266218;3996;26;29;0;47;229.01;nw
3209;32;koszaliński;0;0;0;12;15;0;0;190.11;nw
3210;32;myśliborski;1;174648;3848;7;7;0;0;170.5;nw
3211;32;policki;0;0;0;7;6;0;0;350.98;nw
3212;32;pyrzycki;2;549756;28883;0;2;0;0;131.02;nw
3213;32;sławieński;0;0;0;6;8;0;0;161.75;nw
3214;32;stargardzki;2;2206992;75263;8;11;0;78;194.62;nw
3215;32;szczecinecki;4;3347348;-14965;5;6;0;60;177.7;nw
3216;32;świdwiński;0;0;0;2;1;0;0;167.39;nw
3217;32;wałecki;0;0;0;6;7;1;102;168.7;nw
3218;32;łobeski;0;0;0;1;3;0;0;139.62;nw
3261;32;m.Koszalin;4;1297481;23952;9;10;3;2126;281.61;nw
3262;32;m.Szczecin;0;0;0;30;32;12;9443;289.65;nw
3263;32;m.Świnoujście;1;390140;100332;25;28;0;0;252.88;nw
