Year|Sex|Category|Name|Birthdate|BirthPlace|County|BirthPlaceNow
1996|M|medicine|Rolf M. Zinkernagel|6-Jan-44|Basel|Switzerland|Basel, Switzerland
1996|M|peace|Carlos Filipe Ximenes Belo|3-Feb-48|Wailacama|East Timor|Wailacama, East Timor
1996|M|peace|José Ramos-Horta|26-Dec-49|Dili|East Timor|Dili, East Timor
1996|M|physics|David M. Lee|20-Jan-31|Rye NY|USA|Rye NY, USA
1996|M|physics|Douglas D. Osheroff|1-Aug-45|Aberdeen WA|USA|Aberdeen WA, USA
1996|M|physics|Robert C. Richardson|26-Jul-37|Washington DC|USA|Washington DC, USA
1997|M|chemistry|Jens C. Skou|8-Oct-18|Lemvig|Denmark|Lemvig, Denmark
1997|M|chemistry|John E. Walker|7-Jan-41|Halifax|United Kingdom|Halifax, United Kingdom
1997|M|chemistry|Paul D. Boyer|31-Jul-18|Provo UT|USA|Provo UT, USA
1997|M|economics|Myron S. Scholes|1-Jul-41|Timmins ON|Canada|Timmins ON, Canada
1997|M|economics|Robert C. Merton|31-Jul-49|New York NY|USA|New York NY, USA
1997|M|literature|Dario Fo|2026/03/24|Leggiuno-Sangiano|Italy|Leggiuno-Sangiano, Italy
1997|M|medicine|Stanley B. Prusiner|28-May-42|Des Moines IA|USA|Des Moines IA, USA
1997|NA|peace|International Campaign to Ban Landmines (ICBL)||||, 
1997|F|peace|Jody Williams|9-Oct-50|Putney VT|USA|Putney VT, USA
1997|M|physics|Claude Cohen-Tannoudji|1-Apr-33|Constantine|Algeria|Constantine, Algeria
1997|M|physics|Steven Chu|28-Feb-48|St. Louis MO|USA|St. Louis MO, USA
1997|M|physics|William D. Phillips|5-Nov-48|Wilkes-Barre PA|USA|Wilkes-Barre PA, USA
1998|M|chemistry|John A. Pople|31-Oct-25|Burnham-on-Sea|United Kingdom|Burnham-on-Sea, United Kingdom
1998|M|chemistry|Walter Kohn|2023/03/09|Vienna|Austria|Vienna, Austria
1998|M|economics|Amartya Sen|3-Nov-33|Santiniketan|India|Santiniketan, India
1998|M|literature|José Saramago|16-Nov-22|Azinhaga|Portugal|Azinhaga, Portugal
1998|M|medicine|Ferid Murad|14-Sep-36|Whiting IN|USA|Whiting IN, USA
1998|M|medicine|Louis J. Ignarro|31-May-41|Brooklyn NY|USA|Brooklyn NY, USA
1998|M|medicine|Robert F. Furchgott|4-Jun-16|Charleston SC|USA|Charleston SC, USA
1998|M|peace|David Trimble|15-Oct-44|Belfast|Northern Ireland|Belfast, Northern Ireland
1998|M|peace|John Hume|18-Jan-37|Londonderry|Northern Ireland|Londonderry, Northern Ireland
1998|M|physics|Daniel C. Tsui|28-Feb-39|Henan|China|Henan, China
1998|M|physics|Horst L. Störmer|6-Apr-49|Frankfurt-on-the-Main|West Germany|Frankfurt-on-the-Main, West Germany
1998|M|physics|Robert B. Laughlin|1-Nov-50|Visalia CA|USA|Visalia CA, USA
1999|M|chemistry|Ahmed H. Zewail|26-Feb-46|Damanhur|Egypt|Damanhur, Egypt
1999|M|economics|Robert A. Mundell|24-Oct-32|Kingston ON|Canada|Kingston ON, Canada
1999|M|literature|Günter Grass|16-Oct-27|Danzig|Free City of Danzig|Gdansk, Poland
1999|M|medicine|Günter Blobel|21-May-36|Waltersdorf|Germany|Niegoslawice, Poland
1999|NA|peace|Médecins Sans Frontičres|1971 in Paris||France|, France
1999|M|physics|Gerardus 't Hooft|5-Jul-46|Den Helder|the Netherlands|Den Helder, the Netherlands
1999|M|physics|Martinus J.G. Veltman|27-Jun-31|Waalwijk|the Netherlands|Waalwijk, the Netherlands
2000|M|chemistry|Alan G. MacDiarmid|14-Apr-27|Masterton|New Zealand|Masterton, New Zealand
2000|M|chemistry|Alan J. Heeger|22-Jan-36|Sioux City IA|USA|Sioux City IA, USA
2000|M|chemistry|Hideki Shirakawa|20-Aug-36|Tokyo|Japan|Tokyo, Japan
2000|M|economics|Daniel L. McFadden|29-Jul-37|Raleigh NC|USA|Raleigh NC, USA
2000|M|economics|James J. Heckman|19-Apr-44|Chicago IL|USA|Chicago IL, USA
2000|M|literature|Gao Xingjian|4-Jan-40|Ganzhou|China|Ganzhou, China
2000|M|medicine|Arvid Carlsson|25-Jan-23|Uppsala|Sweden|Uppsala, Sweden
2000|M|medicine|Eric R. Kandel|7-Nov-29|Vienna|Austria|Vienna, Austria
2000|M|medicine|Paul Greengard|11-Dec-25|New York NY|USA|New York NY, USA
2000|M|peace|Kim Dae-jung|3-Dec-25|Mokpo|Korea|Mokpo, South Korea
2000|M|physics|Herbert Kroemer|25-Aug-28|Weimar|Germany|Weimar, Germany
2000|M|physics|Jack S. Kilby|8-Nov-23|Jefferson City MO|USA|Jefferson City MO, USA
2000|M|physics|Zhores I. Alferov|1930/03/15|Vitebsk Belorussia|USSR|Vitebsk, Belarus
2001|M|chemistry|K. Barry Sharpless|28-Apr-41|Philadelphia PA|USA|Philadelphia PA, USA
2001|M|chemistry|Ryoji Noyori|3-Sep-38|Kobe|Japan|Kobe, Japan
2001|M|chemistry|William S. Knowles|1-Jun-17|Taunton MA|USA|Taunton MA, USA
2001|M|economics|A. Michael Spence|0 1943|Montclair NJ|USA|Montclair NJ, USA
2001|M|economics|George A. Akerlof|17-Jun-40|New Haven CT|USA|New Haven CT, USA
2001|M|economics|Joseph E. Stiglitz|9-Feb-43|Gary IN|USA|Gary IN, USA
2001|M|literature|Sir Vidiadhar Surajprasad Naipaul|17-Aug-32|Chaguanas|Trinidad|Chaguanas, Trinidad
2001|M|medicine|Leland H. Hartwell|30-Oct-39|Los Angeles CA|USA|Los Angeles CA, USA
2001|M|medicine|Sir Paul M. Nurse|25-Jan-49|Norwich|United Kingdom|Norwich, United Kingdom
2001|M|medicine|Tim Hunt|19-Feb-43|Neston|United Kingdom|Neston, United Kingdom
2001|M|peace|Kofi Annan|8-Apr-38|Kumasi|Gold Coast|Kumasi, Ghana
2001|NA|peace|United Nations (U.N.)|1945 in New York|NY|USA|NY, USA
2001|M|physics|Carl E. Wieman|1951/03/26|Corvallis OR|USA|Corvallis OR, USA
2001|M|physics|Eric A. Cornell|19-Dec-61|Palo Alto CF|USA|Palo Alto CF, USA
2001|M|physics|Wolfgang Ketterle|21-Oct-57|Heidelberg|West Germany|Heidelberg, West Germany
2002|M|chemistry|John B. Fenn|15-Jun-17|New York NY|USA|New York NY, USA
2002|M|chemistry|Koichi Tanaka|3-Aug-59|Toyama City|Japan|Toyama City, Japan
2002|M|chemistry|Kurt Wüthrich|4-Oct-38|Aarberg|Switzerland|Aarberg, Switzerland
2002|M|economics|Daniel Kahneman|1934/03/05|Tel Aviv|British Mandate of Palestine|Tel Aviv, Israel
2002|M|economics|Vernon L. Smith|1-Jan-27|Wichita KS|USA|Wichita KS, USA
2002|M|literature|Imre Kertész|9-Nov-29|Budapest|Hungary|Budapest, Hungary
2002|M|medicine|H. Robert Horvitz|8-May-47|Chicago IL|USA|Chicago IL, USA
2002|M|medicine|John E. Sulston|1942/03/27|Cambridge|United Kingdom|Cambridge, United Kingdom
2002|M|medicine|Sydney Brenner|13-Jan-27|Germiston|South Africa|Germiston, South Africa
2002|M|peace|Jimmy Carter|1-Oct-24|Plains GA|USA|Plains GA, USA
2002|M|physics|Masatoshi Koshiba|19-Sep-26|Toyohashi|Japan|Toyohashi, Japan
2002|M|physics|Raymond Davis Jr.|14-Oct-14|Washington DC|USA|Washington DC, USA
2002|M|physics|Riccardo Giacconi|6-Oct-31|Genoa|Italy|Genoa, Italy
2003|M|chemistry|Peter Agre|30-Jan-49|Northfield MN|USA|Northfield MN, USA
2003|M|chemistry|Roderick MacKinnon|19-Feb-56|Burlington MA|USA|Burlington MA, USA
2003|M|economics|Clive W.J. Granger|4-Sep-34|Swansea|United Kingdom|Swansea, United Kingdom
2003|M|economics|Robert F. Engle III|10-Nov-42|Syracuse NY|USA|Syracuse NY, USA
2003|M|literature|John M. Coetzee|9-Feb-40|Cape Town|South Africa|Cape Town, South Africa
2003|M|medicine|Paul C. Lauterbur|6-May-29|Sidney OH|USA|Sidney OH, USA
2003|M|medicine|Sir Peter Mansfield|9-Oct-33|London|United Kingdom|London, United Kingdom
2003|F|peace|Shirin Ebadi|21-Jun-47|Hamadan|Iran|Hamadan, Iran
2003|M|physics|Alexei A. Abrikosov|25-Jun-28|Moscow|USSR|Moscow, Russia
2003|M|physics|Anthony J. Leggett|1938/03/26|London|United Kingdom|London, United Kingdom
2003|M|physics|Vitaly L. Ginzburg|4-Oct-16|Moscow|Russia|Moscow, Russia
2004|M|chemistry|Aaron Ciechanover|1-Oct-47|Haifa|British Protectorate of Palestine|Haifa, Israel
2004|M|chemistry|Avram Hershko|31-Dec-37|Karcag|Hungary|Karcag, Hungary
2004|M|chemistry|Irwin Rose|16-Jul-26|Brooklyn NY|USA|Brooklyn NY, USA
2004|M|economics|Edward C. Prescott|26-Dec-40|Glens Falls NY|USA|Glens Falls NY, USA
2004|M|economics|Finn E. Kydland|1-Dec-43|Gjesdal|Norway|Gjesdal, Norway
2004|F|literature|Elfriede Jelinek|20-Oct-46|Mürzzuschlag|Austria|Mürzzuschlag, Austria
2004|F|medicine|Linda B. Buck|29-Jan-47|Seattle WA|USA|Seattle WA, USA
2004|M|medicine|Richard Axel|2-Jul-46|New York NY|USA|New York NY, USA
2004|F|peace|Wangari Muta Maathai|1-Apr-40|Nyeri|Kenya|Nyeri, Kenya
2004|M|physics|David J. Gross|19-Feb-41|Washington DC|USA|Washington DC, USA
2004|M|physics|Frank Wilczek|15-May-51|New York NY|USA|New York NY, USA
2004|M|physics|H. David Politzer|31-Aug-49|New York NY|USA|New York NY, USA
2005|M|chemistry|Richard R. Schrock|4-Jan-45|Berne IN|USA|Berne IN, USA
2005|M|chemistry|Robert H. Grubbs|27-Feb-42|Possum Trot KY|USA|Possum Trot KY, USA
2005|M|chemistry|Yves Chauvin|10-Oct-30|Menin|France|Menin, France
2005|M|economics|Robert J. Aumann|8-Jun-30|Frankfurt-on-the-Main|Germany|Frankfurt-on-the-Main, Germany
2005|M|economics|Thomas C. Schelling|14-Apr-21|Oakland CA|USA|Oakland CA, USA
2005|M|literature|Harold Pinter|10-Oct-30|London|United Kingdom|London, United Kingdom
2005|M|medicine|Barry J. Marshall|30-Sep-51|Kalgoorlie|Australia|Kalgoorlie, Australia
2005|M|medicine|J. Robin Warren|11-Jun-37|Adelaide|Australia|Adelaide, Australia
2005|NA|peace|International Atomic Energy Agency (IAEA)|1957 in Vienna||Austria|, Austria
2005|M|peace|Mohamed ElBaradei|17-Jun-42|Cairo|Egypt|Cairo, Egypt
2005|M|physics|John L. Hall|21-Aug-34|Denver CO|USA|Denver CO, USA
2005|M|physics|Roy J. Glauber|1-Sep-25|New York NY|USA|New York NY, USA
2005|M|physics|Theodor W. Hänsch|30-Oct-41|Heidelberg|Germany|Heidelberg, Germany
2006|M|chemistry|Roger D. Kornberg|24-Apr-47|St. Louis MO|USA|St. Louis MO, USA
2006|M|economics|Edmund S. Phelps|26-Jul-33|Evanston IL|USA|Evanston IL, USA
2006|M|literature|Orhan Pamuk|7-Jun-52|Istanbul|Turkey|Istanbul, Turkey
2006|M|medicine|Andrew Z. Fire|27-Apr-59|Stanford CA|USA|Stanford CA, USA
2006|M|medicine|Craig C. Mello|19-Oct-60|New Haven CT|USA|New Haven CT, USA
2006|NA|peace|Grameen Bank|1976 in Dhaka||Bangladesh|, Bangladesh
2006|M|peace|Muhammad Yunus|28-Jun-40|Chittagong|British India|Chittagong, Bangladesh
2006|M|physics|George F. Smoot|20-Feb-45|Yukon FL|USA|Yukon FL, USA
2006|M|physics|John C. Mather|7-Aug-46|Roanoke VA|USA|Roanoke VA, USA
2007|M|chemistry|Gerhard Ertl|10-Oct-36|Bad Cannstatt|Germany|Bad Cannstatt, Germany
2007|M|economics|Eric S. Maskin|12-Dec-50|New York NY|USA|New York NY, USA
2007|M|economics|Leonid Hurwicz|21-Aug-17|Moscow|Russia|Moscow, Russia
2007|M|economics|Roger B. Myerson|1951/03/29|Boston MA|USA|Boston MA, USA
2007|F|literature|Doris Lessing|22-Oct-19|Kermanshah|Persia|Kermanshah, Iran
2007|M|medicine|Mario R. Capecchi|6-Oct-37|Verona|Italy|Verona, Italy
2007|M|medicine|Oliver Smithies|23-Jun-25|Halifax|United Kingdom|Halifax, United Kingdom
2007|M|medicine|Sir Martin J. Evans|1-Jan-41|Stroud|United Kingdom|Stroud, United Kingdom
2007|M|peace|Albert Arnold (Al) Gore Jr.|1948/03/31|Washington DC|USA|Washington DC, USA
2007|NA|peace|Intergovernmental Panel on Climate Change (IPCC)|1988 in New York|NY|USA|NY, USA
2007|M|physics|Albert Fert|1938/03/07|Carcassonne|France|Carcassonne, France
2007|M|physics|Peter Grünberg|18-May-39|Plzen|Czechoslovakia|Plzen, Czech Republic
2008|M|chemistry|Martin Chalfie|1947|Chicago IL|USA|Chicago IL, USA
2008|M|chemistry|Osamu Shimomura|1928|Kyoto|Japan|Kyoto, Japan
2008|M|chemistry|Roger Y. Tsien|1-Feb-52|New York NY|USA|New York NY, USA
2008|M|economics|Paul Krugman|28-Feb-53|New York NY|USA|New York NY, USA
2008|M|literature|Jean-Marie Gustave Le Clézio|13-Apr-40|Nice|France|Nice, France
2008|F|medicine|Françoise Barré-Sinoussi|30-Jul-47|Paris|France|Paris, France
2008|M|medicine|Harald zur Hausen|1936/03/11|Gelsenkirchen|Germany|Gelsenkirchen, Germany
2008|M|medicine|Luc Montagnier|18-Aug-32|Chabris|France|Chabris, France
2008|M|peace|Martti Ahtisaari|23-Jun-37|Viipuri|Finland|Vyborg, Russia
2008|M|physics|Makoto Kobayashi|7-Apr-44|Nagoya|Japan|Nagoya, Japan
2008|M|physics|Toshihide Maskawa|1940|Nagoya|Japan|Nagoya, Japan
2008|M|physics|Yoichiro Nambu|18-Jan-21|Tokyo|Japan|Tokyo, Japan
2009|F|chemistry|Ada E. Yonath|22-Jun-39|Jerusalem|Israel|Jerusalem, Israel
2009|M|chemistry|Thomas A. Steitz|23-Aug-40|Milwaukee WI|USA|Milwaukee WI, USA
2009|M|chemistry|Venkatraman Ramakrishnan|1952|Chidambaram Tamil Nadu|India|Chidambaram Tamil Nadu, India
2009|F|economics|Elinor Ostrom|7-Aug-33|New York NY|USA|New York NY, USA
2009|M|economics|Oliver E. Williamson|27-Sep-32|Superior WI|USA|Superior WI, USA
2009|F|literature|Herta Müller|17-Aug-53|Nitzkydorf Banat|Romania|Nitzkydorf Banat, Romania
2009|M|medicine|Carol W. Greider|15-Apr-61|San Diego CA|USA|San Diego CA, USA
2009|F|medicine|Elizabeth H. Blackburn|26-Nov-48|Hobart Tasmania|Australia|Hobart Tasmania, Australia
2009|M|medicine|Jack W. Szostak|9-Nov-52|London|United Kingdom|London, United Kingdom
2009|M|peace|Barack H. Obama|4-Aug-61|Honolulu HI|USA|Honolulu HI, USA
2009|M|physics|Charles K. Kao|4-Nov-33|Shanghai|China|Shanghai, China
2009|M|physics|George E. Smith|10-May-30|White Plains NY|USA|White Plains NY, USA
2009|M|physics|Willard S. Boyle|19-Aug-24|Amherst NS|Canada|Amherst NS, Canada
2010|M|chemistry|Akira Suzuki|1930|Mukawa|Japan|Mukawa, Japan
2010|M|chemistry|Ei-ichi Negishi|1935|Changchun|China|Changchun, China
2010|M|chemistry|Richard F. Heck|1931|Springfield MA|USA|Springfield MA, USA
2010|M|economics|Christopher A. Pissarides|1948|Nicosia|Cyprys|Nicosia, Cyprys
2010|M|economics|Dale T. Mortensen|1939|Enterprise OR|USA|Enterprise OR, USA
2010|M|economics|Peter A. Diamond|1940|New York NY|USA|New York NY, USA
2010|M|literature|Mario Vargas Llosa|1936/03/28|Arequipa|Peru|Arequipa, Peru
2010|M|medicine|Robert G. Edwards|1925|Batley|United Kingdom|Batley, United Kingdom
2010|M|peace|Liu Xiaobo|1955|Changchun|China|Changchun, China
2010|M|physics|Andre Geim|1958|Sochi|Russia|Sochi, Russia
2010|M|physics|Konstantin Novoselov|1974|Nizhny Tagil|Russia|Nizhny Tagil, Russia
2011|M|chemistry|Dan Shechtman|1941|TelAviv|Israel|TelAviv, Israel
2011|M|economics|Thomas J. Sargent|1943|Pasadena|USA|Pasadena, USA
2011|M|economics|Christopher A. Sims|1942|Washington DC|USA|Washington DC, USA
2011|M|literature|Tomas Tranströmer|1931|Stockholm|Sweden|Stockholm, Sweden
2011|M|medicine|Bruce A. Beutler|1957|Chicago IL|USA|Chicago IL, USA
2011|M|medicine|Ralph M. Steinman|1943|Montreal|Canada|Montreal, Canada
2011|M|medicine|Jules A. Hoffmann|1941|Echternach|Luxembourg|Echternach, Luxembourg
2011|F|peace|Tawakkol Karman|1979|Ta'izz|Yemen|Ta'izz, Yemen
2011|F|peace|Leymah Gbowee|1972|Monrovia|Liberia|Monrovia, Liberia
2011|F|peace|Ellen Johnson-Sirleaf|1938|Monrovia|Liberia|Monrovia, Liberia
2011|M|physics|Adam G. Riess|1969|Washington DC|USA|Washington DC, USA
2011|M|physics|Brian P. Schmidt|1967|Missoula MT|USA|Missoula MT, USA
2011|M|physics|Saul Perlmutter|1959|Champaign-Urbana IL|USA|Champaign-Urbana IL, USA
2012|M|chemistry|Brian K. Kobilka|1955|Little Falls MN|USA|Little Falls MN, USA
2012|M|chemistry|Robert J. Lefkowitz|1943|New York NY|USA|New York NY, USA
2012|M|economics|Alvin E. Roth|1951|New York NY|USA|New York NY, USA
2012|M|economics|Lloyd S. Shapley|1923|Tucson AZ|USA|Tucson AZ, USA
2012|M|literature|Mo Yan|1955|Gaomi|China|Gaomi, China
2012|M|medicine|Shinya Yamanaka|1962|Higashiōsaka|Japan|Higashiōsaka, Japan
2012|M|medicine|Sir John B. Gurdon|1933|Dippenhall|United Kingdom|Dippenhall, United Kingdom
2012|M|physics|David J. Wineland|1944|Milwaukee WI|USA|Milwaukee WI, USA
2012|M|physics|Serge Haroche|1944|Casablanca|Morocco|Casablanca, Morocco
2013|M|chemistry|Michael Levitt|1947|Pretoria|South Africa|Pretoria, South Africa
2013|M|chemistry|Arieh Warshel|1940|Kibuc Sde Nahum|Israel|Kibuc Sde Nahum, Israel
2013|M|chemistry|Martin Karplus|1930|Wien|Austria|Wien, Austria
2013|M|economics|Lars Peter Hansen|1952|Urbana IL|USA|Urbana IL, USA
2013|M|economics|Robert J. Shiller|1946|Detroit MI|USA|Detroit MI, USA
2013|M|economics|Eugene F. Fama|1939|Boston MA|USA|Boston MA, USA
2013|F|literature|Alice Munro|1931|Wingham Ontario|Canada|Wingham Ontario, Canada
2013|M|medicine|Thomas C. Südhof|1955|Göttingen|Germany|Göttingen, Germany
2013|M|medicine|James E. Rothman|1950|Haverhill MA|USA|Haverhill MA, USA
2013|M|medicine|Randy W. Schekman|1948|Saint Paul MN|USA|Saint Paul MN, USA
2013|M|physics|François Englert|1932|Etterbeek|Belgium|Etterbeek, Belgium
2013|M|physics|Peter Higgs|1929|Newcastle upon Tyne|United Kingdom|Newcastle upon Tyne, United Kingdom
2014|M|physics|Isamu Akasaki|1929|Chiran|Japan|Chiran, Japan
2014|M|physics|Hiroshi Amano|1960|Hamamatsu|Japan|Hamamatsu, Japan
2014|M|physics|Shuji Nakamura|1954|Ikata|Japan|Ikata, Japan
2014|M|chemistry|Eric Betzig|1960|Ann Arbor MI|USA|Ann Arbor MI, USA
2014|M|chemistry|Stefan W. Hell|1962|Arad|Romania|Arad, Romania
2014|M|chemistry|William E. Moerner|1953|Pleasanton CA|USA|Pleasanton CA, USA
2014|M|medicine|John O'Keefe|1939|Nowy Jork NY|USA|Nowy Jork NY, USA
2014|F|medicine|May-Britt Moser|1963|Fosnavåg|Norway|Fosnavåg, Norway
2014|M|medicine|Edvard I. Moser|1962|Ålesund|Norway|Ålesund, Norway
2014|M|literature|Patrick Modiano|1945|Boulogne-Billancourt|France|Boulogne-Billancourt, France
2014|M|peace|Kailash Satyarthi|1954|Vidisa|India|Vidisa, India
2014|M|peace|Malala Yousafzai|1997|Mingora|Pakistan|Mingora, Pakistan
2014|M|economics|Jean Tirole|1953|Troyes|France|Troyes, France
2015|M|physics|Takaaki Kajita|1959|Higashimatsuyama|Japan|Higashimatsuyama, Japan
2015|M|physics|Arthur B. McDonald|1943|North Sydney Nova Scotia|Canada|North Sydney Nova Scotia, Canada
2015|M|chemistry|Tomas Lindahl|1938|Stockholm|Sweden|Stockholm, Sweden
2015|M|chemistry|Paul Modrich|1946|Raton NM|USA|Raton NM, USA
2015|M|chemistry|Aziz Sancar|1946|Savur|Turkey|Savur, Turkey
2015|M|medicine|William C. Campbell|1930|Ramelton|Irland|Ramelton, Irland
2015|M|medicine|Satoshi Ōmura|1935|Nirasaki|Japan|Nirasaki, Japan
2015|F|literature|Svetlana Alexievich|1948|Iwano-Frankiwsk|Ukraine|Iwano-Frankiwsk, Ukraine
2015|NA|peace|NA||||, 
2015|M|economics|Angus Deaton|1945|Edinburgh|United Kingdom|Edinburgh, United Kingdom
2016|M|physics|David J. Thouless|1934|Bearsden|United Kingdom|Bearsden, United Kingdom
2016|M|physics|F. Duncan M. Haldane|1951|London|United Kingdom|London, United Kingdom
2016|M|physics|J. Michael Kosterlitz|1943|Aberdeen|United Kingdom|Aberdeen, United Kingdom
2016|M|chemistry|Jean-Pierre Sauvage|1944|Paris|France|Paris, France
2016|M|chemistry|Sir J. Fraser Stoddart|1942|Edinburgh|United Kingdom|Edinburgh, United Kingdom
2016|M|chemistry|Bernard L. Feringa|1951|Barger-Compascuum|the Netherlands|Barger-Compascuum, the Netherlands
2016|M|medicine|Yoshinori Ohsumi|1945|Fukuoka|Japan|Fukuoka, Japan
2016|M|literature|Bob Dylan|1941|Duluth MN|USA|Duluth MN, USA
2016|M|peace|Juan Manuel Santos|1951|Bogota|Kolumbia|Bogota, Kolumbia
2016|M|economics|Bengt Holmström|1949|Helsinki|Finland|Helsinki, Finland
2016|M|economics|Oliver Hart|1948|Londyn|United Kingdom|Londyn, United Kingdom
2017|M|physics|Rainer Weiss|1932|Berlin|Germany|Berlin, Germany
2017|M|physics|Barry C. Barish|1936|Omaha NE|USA|Omaha NE, USA
2017|M|physics|Kip S. Thorne|1940|Logan UT|USA|Logan UT, USA
2017|M|chemistry|Jacques Dubochet|1942|Aigle|Switzerland|Aigle, Switzerland
2017|M|chemistry|Joachim Frank|1940|Siegen|Germany|Siegen, Germany
2017|M|chemistry|Richard Henderson|1945|Edinburgh|United Kingdom|Edinburgh, United Kingdom
2017|M|medicine|Jeffrey C. Hall|1945|Nowy Jork NY|USA|Nowy Jork NY, USA
2017|M|medicine|Michael Rosbash|1944|Kansas City MO|USA|Kansas City MO, USA
2017|M|medicine|Michael W. Young|1949|Miami FL|USA|Miami FL, USA
2017|M|literature|Kazuo Ishiguro|1954|Nagasaki|Japan|Nagasaki, Japan
