Year|Sex|Category|Name|Birthdate|BirthPlace|County|BirthPlaceNow|Coords
1901|M|chemistry|Jacobus Henricus van't Hoff|30 August 1852|Rotterdam|the Netherlands|Rotterdam, the Netherlands|51.9244201,4.4777326
1901|M|literature|Sully Prudhomme|16 March 1839|Paris|France|Paris, France|48.856614,2.3522219
1901|M|medicine|Emil Adolf von Behring|15 March 1854|Hansdorf|Prussia|Jankowa Żagańska, Poland|51.5786336,15.1723382
1901|M|peace|Frédéric Passy|20 May 1822|Paris|France|Paris, France|51.5786336,15.1723382
1901|M|peace|Jean Henry Dunant|8 May 1828|Geneva|Switzerland|Geneva, Switzerland|46.2043907,6.1431577
1901|M|physics|Wilhelm Conrad Röntgen|27 March 1845|Lennep|Prussia|Remscheid, Germany|51.1787418,7.1896963
1902|M|chemistry|Hermann Emil Fischer|9 October 1852|Euskirchen|Prussia|Euskirchen, Germany|50.6574392,6.7899945
1902|M|literature|Christian Matthias Theodor Mommsen|30 November 1817|Garding|Schleswig|Garding, Germany|54.3295187,8.7865482
1902|M|medicine|Ronald Ross|13 May 1857|Almora|India|Almora, India|29.5892407,79.646666
1902|M|peace|Charles Albert Gobat|21 May 1843|Tramelan|Switzerland|Tramelan, Switzerland|47.2235029,7.102975
1902|M|peace|Élie Ducommun|19 February 1833|Geneva|Switzerland|Geneva, Switzerland|47.2235029,7.102975
1902|M|physics|Hendrik Antoon Lorentz|18 July 1853|Arnhem|the Netherlands|Arnhem, the Netherlands|51.9851034,5.8987296
1902|M|physics|Pieter Zeeman|25 May 1865|Zonnemaire|the Netherlands|Zonnemaire, the Netherlands|51.7130521,3.9518196
1903|M|chemistry|Svante August Arrhenius|19 February 1859|Vik|Sweden|Vik, Sweden|55.6144259,14.2851622
1903|M|literature|Bjøjrnstjerne Martinus Bjørnson|8 December 1832|Kvikne|Norway|Kvikne, Norway|62.5822116,10.2872981
1903|M|medicine|Niels Ryberg Finsen|15 December 1860|Thorshavn|Faroe Islands|Thorshavn, Faroe Islands|62.007864,-6.7909817
1903|M|peace|William Randal Cremer|18 March 1828|Fareham|United Kingdom|Fareham, United Kingdom|50.8548464,-1.1865868
1903|M|physics|Antoine Henri Becquerel|15 December 1852|Paris|France|Paris, France|50.8548464,-1.1865868
1903|F|physics|Marie Curie, née Sklodowska|7 November 1867|Warsaw|Russian Empire|Warsaw, Poland|52.2296756,21.0122287
1903|M|physics|Pierre Curie|15 May 1859|Paris|France|Paris, France|52.2296756,21.0122287
1904|M|chemistry|Sir William Ramsay|2 October 1852|Glasgow|Scotland|Glasgow, Scotland|55.864237,-4.251806
1904|M|literature|Frédéric Mistral|8 September 1830|Maillane|France|Maillane, France|43.832349,4.782098
1904|M|literature|José Echegaray y Eizaguirre|19 April 1832|Madrid|Spain|Madrid, Spain|40.4167754,-3.7037902
1904|M|medicine|Ivan Petrovich Pavlov|14 September 1849|Ryazan|Russia|Ryazan, Russia|54.6095418,39.7125857
1904|NA|peace|Institut de droit international (Institute of International Law)|1873 in Ghent||Belgium|, Belgium|50.503887,4.469936
1904|M|physics|Lord Rayleigh (John William Strutt)|12 November 1842|Langford Grove Maldon Essex|United Kingdom|Langford Grove Maldon Essex, United Kingdom|51.7597899,0.6704065
1905|M|chemistry|Johann Friedrich Wilhelm Adolf von Baeyer|31 October 1835|Berlin|Prussia|Berlin, Germany|52.5200066,13.404954
1905|M|literature|Henryk Sienkiewicz|5 May 1846|Wola Okrzejska|Poland|Wola Okrzejska, Poland|51.7494805,22.1336435
1905|M|medicine|Robert Koch|11 December 1843|Clausthal|Germany|Clausthal-Zellerfeld, Germany|51.8080063,10.3407069
1905|F|peace|Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau|9 June 1843|Prague|Austrian Empire|Prague, Czech Republic|50.0755381,14.4378005
1905|M|physics|Philipp Eduard Anton von Lenard|7 June 1862|Pressburg|Hungary|Bratislava, Slovakia|48.1485965,17.1077478
1906|M|chemistry|Henri Moissan|28 September 1852|Paris|France|Paris, France|48.1485965,17.1077478
1906|M|literature|Giosuč Carducci|27 July 1835|Val di Castello|Tuscany|Val di Castello, Italy|43.2423636,10.9678668
1906|M|medicine|Camillo Golgi|7 July 1843|Corteno|Italy|Corteno, Italy|46.1652608,10.2365387
1906|M|medicine|Santiago Ramón y Cajal|1 May 1852|Petilla de Aragó|Spain|Petilla de Aragó, Spain|42.4614395,-1.0924468
1906|M|peace|Theodore Roosevelt|27 October 1858|New York NY|USA|New York NY, USA|40.7127753,-74.0059728
1906|M|physics|Joseph John Thomson|18 December 1856|Cheetham Hill near Manchester|United Kingdom|Cheetham Hill near Manchester, United Kingdom|53.5021101,-2.2368975
1907|M|chemistry|Eduard Buchner|20 May 1860|Munich|Bavaria|Munich, Germany|48.1351253,11.5819805
1907|M|literature|Rudyard Kipling|30 December 1865|Bombay|British India|Bombay, British India|19.0759837,72.8776559
1907|M|medicine|Charles Louis Alphonse Laveran|18 June 1845|Paris|France|Paris, France|19.0759837,72.8776559
1907|M|peace|Ernesto Teodoro Moneta|20 September 1833|Milan|Austrian Empire|Milan, Italy|45.4642035,9.189982
1907|M|peace|Louis Renault|21 May 1843|Autun|France|Autun, France|46.950914,4.301565
1907|M|physics|Albert Abraham Michelson|19 December 1852|Strelno|Prussia|Strzelno, Poland|52.62772,18.1726601
1908|M|chemistry|Ernest Rutherford|31 August 1871|Nelson|New Zealand|Nelson, New Zealand|-41.2706319,173.2839653
1908|M|literature|Rudolf Christoph Eucken|5 January 1846|Aurich|East Friesland|Aurich, Germany|53.4708393,7.4848308
1908|M|medicine|Ilya Ilyich Mechnikov|16 May 1845|Kharkov|Russian Empire|Kharkiv, Ukraine|49.9935,36.230383
1908|M|medicine|Paul Ehrlich|14 March 1854|Strehlen|Prussia|Strzelin, Poland|50.7812167,17.0646124
1908|M|peace|Fredrik Bajer|21 April 1837|Næstved|Denmark|Næsstved, Denmark|NOK[ZERO_RESULTS]
1908|M|peace|Klas Pontus Arnoldson|27 October 1844|Gothenburg|Sweden|Gothenburg, Sweden|57.70887,11.97456
1908|M|physics|Gabriel Lippmann|16 August 1845|Hollerich|Luxembourg|Hollerich, Luxembourg|49.6040705,6.1121429
1909|M|chemistry|Wilhelm Ostwald|2 September 1853|Riga Latvia|Russian Empire|Riga Latvia, Russian Empire|56.9496487,24.1051865
1909|F|literature|Selma Ottilia Lovisa Lagerlöf|20 November 1858|Mĺrbacka|Sweden|Mĺrbacka, Sweden|NOK[ZERO_RESULTS]
1909|M|medicine|Emil Theodor Kocher|25 August 1841|Berne|Switzerland|Berne, Switzerland|46.9479739,7.4474468
1909|M|peace|Auguste Marie François Beernaert|26 July 1829|Ostend|Belgium|Ostend, Belgium|51.21543,2.928656
1909|M|physics|Guglielmo Marconi|25 April 1874|Bologna|Italy|Bologna, Italy|44.494887,11.3426162
1909|M|physics|Karl Ferdinand Braun|6 June 1850|Fulda|Hesse-Kassel|Fulda, Germany|50.5558095,9.6808449
1910|M|chemistry|Otto Wallach|27 March 1847|Koenigsberg|Germany|Kaliningrad, Russia|54.7104264,20.4522144
1910|M|literature|Paul Johann Ludwig Heyse|15 March 1830|Berlin|Prussia|Berlin, Germany|54.7104264,20.4522144
1910|M|medicine|Albrecht Kossel|16 September 1853|Rostock|Mecklenburg|Rostock, Germany|54.0924406,12.0991466
1910|NA|peace|Bureau international permanent de la Paix (Permanent International Peace Bureau)|1891 in Berne||Switzerland|, Switzerland|46.818188,8.227512
1910|M|physics|Johannes Diderik van der Waals|23 November 1837|Leiden|the Netherlands|Leiden, the Netherlands|52.1601144,4.4970097
1911|F|chemistry|Marie Curie, née Sklodowska|7 November 1867|Warsaw|Russian Empire|Warsaw, Poland|52.1601144,4.4970097
1911|M|literature|Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck|29 August 1862|Ghent|Belgium|Ghent, Belgium|51.0543422,3.7174243
1911|M|medicine|Allvar Gullstrand|5 June 1862|Landskrona|Sweden|Landskrona, Sweden|55.8703477,12.8300802
1911|M|peace|Alfred Hermann Fried|11 November 1864|Vienna|Austria|Vienna, Austria|48.2081743,16.3738189
1911|M|peace|Tobias Michael Carel Asser|28 April 1838|Amsterdam|the Netherlands|Amsterdam, the Netherlands|52.3702157,4.8951679
1911|M|physics|Wilhelm Wien|13 January 1864|Gaffken|Prussia|Parusnoye, Russia|48.325695,142.147781
1912|M|chemistry|Paul Sabatier|5 November 1854|Carcassonne|France|Carcassonne, France|43.212161,2.353663
1912|M|chemistry|Victor Grignard|6 May 1871|Cherbourg|France|Cherbourg, France|49.6337308,-1.622137
1912|M|literature|Gerhart Johann Robert Hauptmann|15 November 1862|Bad Salzbrunn|Prussia|Bad Salzbrunn, Germany|NOK[ZERO_RESULTS]
1912|M|medicine|Alexis Carrel|28 June 1873|Sainte-Foy-lčs-Lyon|France|Sainte-Foy-lčs-Lyon, France|45.7310652,4.8058909
1912|M|peace|Elihu Root|15 February 1845|Clinton NY|USA|Clinton NY, USA|43.0484029,-75.3785034
1912|M|physics|Nils Gustaf Dalén|30 November 1869|Stenstorp|Sweden|Stenstorp, Sweden|58.2740016,13.7142087
1913|M|chemistry|Alfred Werner|12 December 1866|Mulhouse|France|Mulhouse, France|47.750839,7.335888
1913|M|literature|Rabindranath Tagore|7 May 1861|Calcutta|India|Calcutta, India|22.572646,88.363895
1913|M|medicine|Charles Robert Richet|26 August 1850|Paris|France|Paris, France|22.572646,88.363895
1913|M|peace|Henri La Fontaine|22 April 1854|Brussels|Belgium|Brussels, Belgium|50.8503463,4.3517211
1913|M|physics|Heike Kamerlingh Onnes|21 September 1853|Groningen|the Netherlands|Groningen, the Netherlands|53.2193835,6.5665017
1914|M|chemistry|Theodore William Richards|31 January 1868|Germantown PA|USA|Germantown PA, USA|40.028521,-75.1749671
1914|M|medicine|Robert Bárány|22 April 1876|Vienna|Austria|Vienna, Austria|40.028521,-75.1749671
1914|M|physics|Max von Laue|9 October 1879|Pfaffendorf|Germany|Pfaffendorf, Germany|50.911275,14.0748638
1915|M|chemistry|Richard Martin Willstätter|13 August 1872|Karlsruhe|Germany|Karlsruhe, Germany|49.0068901,8.4036527
1915|M|literature|Romain Rolland|29 January 1866|Clamecy|France|Clamecy, France|47.459605,3.518769
1915|M|physics|Sir William Henry Bragg|2 July 1862|Wigton|United Kingdom|Wigton, United Kingdom|54.825544,-3.161231
1915|M|physics|William Lawrence Bragg|31 March 1890|Adelaide|Australia|Adelaide, Australia|-34.9284989,138.6007456
1916|M|literature|Carl Gustaf Verner von Heidenstam|6 July 1859|Olshammar|Sweden|Olshammar, Sweden|58.7536282,14.7980293
1917|M|literature|Henrik Pontoppidan|24 July 1857|Fredericia|Denmark|Fredericia, Denmark|55.5689298,9.749517
1917|M|literature|Karl Adolph Gjellerup|2 June 1857|Roholte|Denmark|Roholte, Denmark|55.194519,12.089752
1917|NA|peace|Comité international de la Croix Rouge (International Committee of the Red Cross)|1863 in Geneva||Switzerland|, Switzerland|55.194519,12.089752
1917|M|physics|Charles Glover Barkla|7 June 1877|Widnes|United Kingdom|Widnes, United Kingdom|53.361024,-2.733637
1918|M|chemistry|Fritz Haber|9 December 1868|Breslau|Prussia|Wroclaw, Poland|51.1078852,17.0385376
1918|M|physics|Max Karl Ernst Ludwig Planck|23 April 1858|Kiel|Schleswig|Kiel, Germany|54.3232927,10.1227651
1919|M|literature|Carl Friedrich Georg Spitteler|24 April 1845|Liestal|Switzerland|Liestal, Switzerland|47.4866143,7.7334272
1919|M|medicine|Jules Bordet|13 June 1870|Soignies|Belgium|Soignies, Belgium|50.5764245,4.0706869
1919|M|peace|Thomas Woodrow Wilson|28 December 1856|Staunton VA|USA|Staunton VA, USA|38.149576,-79.0716958
1919|M|physics|Johannes Stark|15 April 1874|Schickenhof|Germany|Schickenhof, Germany|49.4558488,11.0874083
1920|M|chemistry|Walther Hermann Nernst|25 June 1864|Briesen|Prussia|Briesen, Germany|52.3401613,14.2767893
1920|M|literature|Knut Pedersen Hamsun|4 August 1895|Lom|Norway|Lom, Norway|61.6750129,8.4359014
1920|M|medicine|Schack August Steenberg Krogh|15 November 1874|Grenĺ|Denmark|Grenĺ, Denmark|NOK[ZERO_RESULTS]
1920|M|peace|Léon Victor Auguste Bourgeois|21 May 1851|Paris|France|Paris, France|NOK[ZERO_RESULTS]
1920|M|physics|Charles Edouard Guillaume|15 February 1861|Fleurier|Switzerland|Fleurier, Switzerland|46.9023107,6.5808426
1921|M|chemistry|Frederick Soddy|2 September 1877|Eastbourne|United Kingdom|Eastbourne, United Kingdom|50.768035,0.290472
1921|M|literature|Anatole France|16 April 1844|Paris|France|Paris, France|50.768035,0.290472
1921|M|peace|Christian Lous Lange|17 September 1869|Stavanger|Norway|Stavanger, Norway|58.9699756,5.7331074
1921|M|peace|Karl Hjalmar Branting|23 November 1860|Stockholm|Sweden|Stockholm, Sweden|59.3293235,18.0685808
1921|M|physics|Albert Einstein|14 March 1879|Ulm|Germany|Ulm, Germany|48.4010822,9.9876076
1922|M|chemistry|Francis William Aston|1 September 1877|Harborne|United Kingdom|Harborne, United Kingdom|52.4597094,-1.961668
1922|M|literature|Jacinto Benavente|12 August 1866|Madrid|Spain|Madrid, Spain|52.4597094,-1.961668
1922|M|medicine|Archibald Vivian Hill|26 September 1886|Bristol|United Kingdom|Bristol, United Kingdom|51.454513,-2.58791
1922|M|medicine|Otto Fritz Meyerhof|12 April 1884|Hanover|Germany|Hanover, Germany|52.3758916,9.7320104
1922|M|peace|Fridtjof Nansen|10 October 1861|Kristiania|Norway|Oslo, Norway|59.9138688,10.7522454
1922|M|physics|Niels Henrik David Bohr|7 October 1885|Copenhagen|Denmark|Copenhagen, Denmark|55.6760968,12.5683372
1923|M|chemistry|Fritz Pregl|3 September 1869|Laibach|Austria-Hungary|Ljubljana, Slovenia|46.0569465,14.5057515
1923|M|literature|William Butler Yeats|13 June 1865|Dublin|Ireland|Dublin, Ireland|53.3498053,-6.2603097
1923|M|medicine|Frederick Grant Banting|14 November 1891|Alliston|Canada|Alliston, Canada|44.1539514,-79.8691544
1923|M|medicine|John James Rickard Macleod|6 September 1876|Cluny|Scotland|Cluny, Scotland|57.204922,-2.5173009
1923|M|physics|Robert Andrews Millikan|22 March 1868|Morrison IL|USA|Morrison IL, USA|41.809751,-89.9651186
1924|M|literature|Wladyslaw Stanislaw Reymont|7 May 1867|Kobiele Wielkie|Russian Empire|Kobiele Wielkie, Poland|51.0183369,19.6116419
1924|M|medicine|Willem Einthoven|21 May 1860|Semarang Java|Dutch East Indies|Semarang Java, Indonesia|-7.0051453,110.4381254
1924|M|physics|Karl Manne Georg Siegbahn|3 December 1886|Lund|Sweden|Lund, Sweden|55.7046601,13.1910073
1925|M|chemistry|Richard Adolf Zsigmondy|1 April 1865|Vienna|Austrian Empire|Vienna, Austria|55.7046601,13.1910073
1925|M|literature|George Bernard Shaw|26 July 1856|Dublin|Ireland|Dublin, Ireland|55.7046601,13.1910073
1925|M|peace|Charles Gates Dawes|27 August 1865|Marietta OH|USA|Marietta OH, USA|39.415352,-81.4548436
1925|M|peace|Sir Austen Chamberlain|16 October 1863|Birmingham|United Kingdom|Birmingham, United Kingdom|52.486243,-1.890401
1925|M|physics|Gustav Ludwig Hertz|22 July 1887|Hamburg|Germany|Hamburg, Germany|53.5510846,9.9936819
1925|M|physics|James Franck|26 August 1882|Hamburg|Germany|Hamburg, Germany|53.5510846,9.9936819
1926|M|chemistry|The (Theodor) Svedberg|30 August 1884|Fleräng|Sweden|Fleräng, Sweden|NOK[ZERO_RESULTS]
1926|F|literature|Grazia Deledda|27 September 1871|Nuoro Sardinia|Italy|Nuoro Sardinia, Italy|40.3202421,9.3264377
1926|M|medicine|Johannes Andreas Grib Fibiger|23 April 1867|Silkeborg|Denmark|Silkeborg, Denmark|56.176362,9.5549217
1926|M|peace|Aristide Briand|28 March 1862|Nantes|France|Nantes, France|47.218371,-1.553621
1926|M|peace|Gustav Stresemann|10 May 1878|Berlin|Germany|Berlin, Germany|47.218371,-1.553621
1926|M|physics|Jean Baptiste Perrin|30 September 1870|Lille|France|Lille, France|50.62925,3.057256
1927|M|chemistry|Heinrich Otto Wieland|4 June 1877|Pforzheim|Germany|Pforzheim, Germany|48.8921862,8.6946286
1927|M|literature|Henri Bergson|18 October 1859|Paris|France|Paris, France|48.8921862,8.6946286
1927|M|medicine|Julius Wagner-Jauregg|7 March 1857|Wels|Austria|Wels, Austria|48.16542,14.03664
1927|M|peace|Ferdinand Buisson|20 December 1841|Paris|France|Paris, France|48.16542,14.03664
1927|M|peace|Ludwig Quidde|23 March 1858|Bremen|Germany|Bremen, Germany|53.0792962,8.8016936
1927|M|physics|Arthur Holly Compton|10 September 1892|Wooster OH|USA|Wooster OH, USA|40.8050565,-81.935143
1927|M|physics|Charles Thomson Rees Wilson|14 February 1869|Glencorse|Scotland|Glencorse, Scotland|55.8619946,-3.2526271
1928|M|chemistry|Adolf Otto Reinhold Windaus|25 December 1876|Berlin|Germany|Berlin, Germany|55.8619946,-3.2526271
1928|M|literature|Sigrid Undset|20 May 1882|Kalundborg|Denmark|Kalundborg, Denmark|55.686429,11.089188
1928|M|medicine|Charles Jules Henri Nicolle|21 September 1866|Rouen|France|Rouen, France|49.443232,1.099971
1928|M|physics|Owen Willans Richardson|26 April 1879|Dewsbury|United Kingdom|Dewsbury, United Kingdom|53.689833,-1.6296949
1929|M|chemistry|Arthur Harden|12 October 1865|Manchester|United Kingdom|Manchester, United Kingdom|53.4807593,-2.2426305
1929|M|chemistry|Hans Karl August Simon von Euler-Chelpin|15 February 1873|Augsburg|Germany|Augsburg, Germany|48.3705449,10.89779
1929|M|literature|Thomas Mann|6 June 1875|Lübeck|Germany|Lübeck, Germany|53.8654673,10.6865593
1929|M|medicine|Christiaan Eijkman|11 August 1858|Nijkerk|the Netherlands|Nijkerk, the Netherlands|52.2224835,5.4835625
1929|M|medicine|Sir Frederick Gowland Hopkins|20 June 1861|Eastbourne|United Kingdom|Eastbourne, United Kingdom|52.2224835,5.4835625
1929|M|peace|Frank Billings Kellogg|22 December 1856|Potsdam NY|USA|Potsdam NY, USA|44.6697805,-74.9813084
1929|M|physics|Prince Louis-Victor Pierre Raymond de Broglie|15 August 1892|Dieppe|France|Dieppe, France|49.922992,1.077483
1930|M|chemistry|Hans Fischer|27 July 1881|Hoechst|Germany|Hoechst, Germany|50.102482,8.5474571
1930|M|literature|Sinclair Lewis|7 February 1885|Sauk Centre MN|USA|Sauk Centre MN, USA|45.737465,-94.9525216
1930|M|medicine|Karl Landsteiner|14 June 1868|Vienna|Austrian Empire|Vienna, Austria|45.737465,-94.9525216
1930|M|peace|Lars Olof Jonathan (Nathan) Söderblom|15 January 1866|Trönö|Sweden|Trönö, Sweden|61.3965122,16.8336652
1930|M|physics|Sir Chandrasekhara Venkata Raman|7 November 1888|Trichinopoly|India|Trichinopoly, India|10.7904833,78.7046725
1931|M|chemistry|Carl Bosch|27 August 1874|Cologne|Germany|Cologne, Germany|50.937531,6.9602786
1931|M|chemistry|Friedrich Bergius|11 October 1884|Goldschmieden near Breslau|Germany|Złotniki, Poland|52.4932064,16.8448409
1931|M|literature|Erik Axel Karlfeldt|20 July 1864|Karlbo|Sweden|Karlbo, Sweden|60.1309558,16.2159444
1931|M|medicine|Otto Heinrich Warburg|8 October 1883|Freiburg im Breisgau|Germany|Freiburg im Breisgau, Germany|47.9990077,7.8421043
1931|F|peace|Jane Addams|6 September 1860|Cedarville IL|USA|Cedarville IL, USA|42.3758493,-89.6331727
1931|M|peace|Nicholas Murray Butler|2 April 1862|Elizabeth NJ|USA|Elizabeth NJ, USA|40.6639916,-74.2107006
1932|M|chemistry|Irving Langmuir|31 January 1881|Brooklyn NY|USA|Brooklyn NY, USA|40.6781784,-73.9441579
1932|M|literature|John Galsworthy|14 August 1867|Kingston Hill|United Kingdom|Kingston Hill, United Kingdom|51.43361,-0.257451
1932|M|medicine|Edgar Douglas Adrian|30 November 1889|London|United Kingdom|London, United Kingdom|51.5073509,-0.1277583
1932|M|medicine|Sir Charles Scott Sherrington|27 November 1857|London|United Kingdom|London, United Kingdom|51.5073509,-0.1277583
1932|M|physics|Werner Karl Heisenberg|5-Dec-01|Würzburg|Germany|Würzburg, Germany|49.7913044,9.9533548
1933|M|literature|Ivan Alekseyevich Bunin|22 October 1870|Voronezh|Russia|Voronezh, Russia|51.6754966,39.2088823
1933|M|medicine|Thomas Hunt Morgan|25 September 1866|Lexington KY|USA|Lexington KY, USA|38.0405837,-84.5037164
1933|M|peace|Sir Norman Angell (Ralph Lane)|26 December 1873|Holbeach|United Kingdom|Holbeach, United Kingdom|52.803991,0.013434
1933|M|physics|Erwin Schrödinger|12 August 1887|Vienna|Austria|Vienna, Austria|52.803991,0.013434
1933|M|physics|Paul Adrien Maurice Dirac|8-Aug-02|Bristol|United Kingdom|Bristol, United Kingdom|52.803991,0.013434
